Speaker	sound name	Segment	Context	Prompt	Duration	x_1	y_1	x_2	y_2	x_3	y_3	x_4	y_4	x_5	y_5	x_6	y_6	x_7	y_7	x_8	y_8	x_9	y_9	x_10	y_10	x_11	y_11	x_12	y_12	x_13	y_13	x_14	y_14	x_15	y_15	x_16	y_16	x_17	y_17	x_18	y_18	x_19	y_19	x_20	y_20	x_21	y_21	x_22	y_22	x_23	y_23	x_24	y_24	x_25	y_25	x_26	y_26	x_27	y_27	x_28	y_28	x_29	y_29	x_30	y_30	x_31	y_31	x_32	y_32	x_33	y_33	x_34	y_34	x_35	y_35	x_36	y_36	x_37	y_37	x_38	y_38	x_39	y_39	x_40	y_40	x_41	y_41	x_42	y_42
test	  File237	l	initial	Mr. B. Leoni's from Colchester	0.0942	4.6058	3.9662	4.6958	4.3538	4.9816	4.5906	5.2141	4.8712	5.3342	5.2741	5.6815	5.4433	5.8117	5.874	6.0696	6.1666	6.3477	6.4431	6.5672	6.8345	6.7688	7.3054	6.9753	7.8356	7.2202	8.3681	7.5315	8.8235	7.8468	9.3675	8.2323	9.7961	8.6351	10.2849	9.1174	10.5116	9.6119	10.7488	10.1195	11.037	10.6515	11.2681	11.2012	11.3847	11.7589	11.4477	12.3194	11.453	12.8863	11.4583	13.4596	11.4505	14.0208	11.3561	14.5993	11.3023	15.1631	11.1752	15.748	11.0823	16.2818	10.8499	16.7925	10.5707	17.1198	9.9792	17.3922	9.3616	17.7115	8.8679	18.0723	8.4593	18.3972	8.0226	18.7443	7.6254	*	*	*	*	*	*	*	*
test	  File211	l	initial	Mr. B. Leoni's from Colchester	0.0637	4.4288	4.0947	4.5981	4.4319	4.7468	4.7966	4.9512	5.1242	5.1661	5.4513	5.4347	5.729	5.6845	6.0357	5.9422	6.3448	6.2096	6.6564	6.4633	7.0124	6.7328	7.3741	6.9415	7.9082	7.2202	8.3681	7.5497	8.7729	7.874	9.279	8.2256	9.8221	8.6604	10.1641	9.1174	10.5116	9.5923	10.9183	10.1195	11.037	10.6489	11.3825	11.2051	11.5577	11.7746	11.6753	12.3512	11.7284	12.942	11.8018	13.5219	11.7477	14.0798	11.5844	14.6153	11.3544	15.1631	11.1752	15.6307	10.7975	16.1518	10.5713	16.6144	10.2309	17.016	9.8014	17.4013	9.3757	17.719	8.8784	18.1221	8.5225	18.3972	8.0226	18.6614	7.5379	18.9119	7.0617	*	*	*	*	*	*
test	  File184	l	initial	Mr. B. Leoni's from Colchester	0.0949	6.1667	2.8321	5.7321	3.5255	5.7681	3.9004	5.531	4.5662	5.4865	5.1133	5.4195	5.7465	5.3171	6.5027	5.2569	7.3035	5.4995	7.753	5.7434	8.2447	6.0076	8.7577	6.3806	9.1095	6.8067	9.3716	7.2273	9.6705	7.6689	9.945	8.1225	10.2211	8.6142	10.3845	9.1129	10.5394	9.6231	10.6516	10.139	10.7546	10.662	10.8119	11.1906	10.9237	11.7304	11.0352	12.277	11.0855	12.8271	11.0937	13.3737	11.0413	13.8735	10.7861	14.4295	10.7513	15.0066	10.7393	15.5534	10.6098	16.1038	10.4687	16.5755	10.1565	17.0527	9.8644	17.4532	9.4558	17.8281	9.031	18.2869	8.7319	18.6291	8.291	18.9386	7.8304	*	*	*	*	*	*	*	*
test	  File181	l	fPreV_internal	I sent Neil innocuous pleas  	0.2077	*	*	*	*	*	*	*	*	*	*	5.3702	5.8036	5.4361	6.3514	5.4992	6.9645	5.7004	7.4427	5.9611	7.8721	6.2413	8.3119	6.5531	8.7402	6.9243	9.0863	7.2102	9.7181	7.5542	10.3174	7.9471	10.8997	8.4244	11.2885	8.9296	11.6685	9.4692	11.9847	10.0355	12.2537	10.6238	12.4726	11.2261	12.4715	11.8223	12.3668	12.4133	12.2662	12.9822	12.0493	13.5204	11.7402	14.0228	11.3638	14.4793	10.913	14.869	10.3561	15.2051	9.7645	15.5363	9.2528	15.9308	8.9265	16.293	8.5639	16.6945	8.2842	17.0247	7.9071	17.3775	7.5761	17.7105	7.2279	18.0508	6.8936	18.3067	6.4792	18.5794	6.092	18.8228	5.6875	*	*
test	  File272	l	final	Mr Neil	0.2048	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.2748	7.2785	5.5152	7.7287	5.7534	8.2277	6.0076	8.7577	6.3111	9.2585	6.6669	9.7111	7.1007	10.0231	7.4545	10.6408	7.9698	10.812	8.4374	11.2266	8.9394	11.608	9.4983	11.7328	10.0465	12.0938	10.6288	12.2575	11.2201	12.2075	11.8076	12.1537	12.3706	11.8966	12.9399	11.7886	13.4858	11.5755	14.0324	11.4008	14.5883	11.2668	15.121	11.0578	15.6443	10.8306	16.134	10.5333	16.5963	10.1964	17.0022	9.7778	17.3656	9.3205	17.5748	8.6766	17.7441	8.042	17.9081	7.4566	18.1805	7.0305	*	*	*	*	*	*	*	*
test	  File194	l	final	Mr Neil	0.1787	*	*	*	*	*	*	*	*	*	*	5.0208	6.2079	5.0901	6.7912	5.3581	7.1619	5.5554	7.6667	5.8465	8.0682	6.2068	8.3778	6.3822	9.1061	6.7158	9.5924	7.0325	10.2127	7.4198	10.7536	7.8497	11.2768	8.3253	11.7609	8.8703	12.0338	9.438	12.2548	10.0318	12.307	10.6275	12.3111	11.2237	12.3654	11.8223	12.3668	12.4133	12.2662	12.9836	12.058	13.5204	11.7402	14.0194	11.3507	14.5037	10.9921	14.8922	10.4208	15.2506	9.875	15.6291	9.4517	16.0293	9.1145	16.4504	8.8334	16.7994	8.4462	17.1551	8.0896	17.5114	7.7463	17.8587	7.3994	18.207	7.0584	18.5249	6.6892	*	*	*	*	*	*
test	  File170	l	fPreV_phrase	"Neil, ingest the pie"	0.1614	5.8454	3.0655	5.8951	3.3953	5.8816	3.8008	5.6921	4.4112	5.0979	5.5234	4.7514	6.5198	4.8316	7.1197	4.9346	7.7543	5.2176	8.1883	5.4889	8.6805	5.8399	9.0779	6.1988	9.499	6.606	9.8589	6.9984	10.3077	7.5148	10.4452	7.9179	11.0129	8.4199	11.3101	8.9479	11.5558	9.4875	11.8261	10.05	12.044	10.6337	12.0435	11.2151	11.9898	11.7887	11.8801	12.3577	11.7846	12.9145	11.6323	13.4274	11.2975	13.8994	10.8863	14.3495	10.4917	14.7484	10.0204	15.122	9.5628	15.435	9.0359	15.7642	8.6086	16.1355	8.2943	16.5176	8.011	16.9644	7.8228	17.3353	7.5225	17.6706	7.1817	17.9583	6.796	*	*	18.4355	5.9658	*	*	*	*
test	  File178	l	fPreS	Mr Neil Banana's from Manchester	0.1143	*	*	*	*	*	*	*	*	*	*	5.3702	5.8036	5.1718	6.6872	5.1625	7.4355	5.4505	7.8286	5.8037	8.1415	6.0746	8.63	6.3506	9.1738	6.6858	9.6652	7.0836	10.0705	7.4742	10.577	7.9179	11.0129	8.4137	11.3398	8.9479	11.5558	9.4936	11.7733	10.0576	11.9339	10.6362	11.9365	11.2115	11.8331	11.7742	11.6704	12.3272	11.5207	12.8694	11.3543	13.3868	11.1036	13.8735	10.7861	14.374	10.571	14.8798	10.3863	15.3871	10.2063	15.8411	9.9058	16.308	9.6463	16.7845	9.4052	17.2191	9.0942	17.6977	8.8486	18.1214	8.5216	18.504	8.1462	18.8597	7.7471	19.2084	7.3471	19.5293	6.9256	*	*	*	*
test	  File193	l	final	Mr Peale	0.1819	*	*	*	*	*	*	5.4195	4.6735	5.3062	5.3036	5.1763	6.028	5.2555	6.5809	5.2894	7.258	5.3543	7.9771	5.5454	8.5838	5.8062	9.142	6.0881	9.7362	6.4695	10.1902	6.9241	10.5146	7.3594	10.9495	7.8464	11.2896	8.3706	11.5451	8.9268	11.6858	9.4821	11.8732	10.0502	12.0405	10.6325	12.097	11.22	12.2061	11.815	12.2602	12.3889	12.055	12.9104	11.6067	13.3669	11.0092	13.8471	10.684	14.3253	10.413	14.8165	10.2101	15.2917	9.9748	15.7604	9.733	16.1854	9.4122	16.6271	9.1357	17.0739	8.87	17.6616	8.798	18.0394	8.4174	18.3364	7.9523	18.6515	7.5274	18.9335	7.0824	19.2415	6.673	*	*	*	*
test	  File167	l	final	Mr Neil	0.1579	*	*	*	*	*	*	*	*	5.1489	5.4696	5.3508	5.826	5.4675	6.3115	5.5681	6.8682	5.8068	7.2785	5.9575	7.8783	6.1857	8.418	6.3521	9.1707	6.5948	9.8859	6.9522	10.4364	7.4047	10.8025	7.8497	11.2768	8.3876	11.4638	8.9367	11.6249	9.5004	11.7146	10.0688	11.7706	10.6386	11.8295	11.2114	11.8316	11.7745	11.6743	12.3021	11.3031	12.8017	10.9374	13.2854	10.6206	13.7208	10.1952	14.09	9.6492	14.4732	9.2543	14.8115	8.8089	15.2228	8.5813	15.6634	8.4162	16.0753	8.1913	16.4604	7.9226	16.8255	7.6286	17.1547	7.293	17.4866	6.9688	17.7905	6.619	18.0898	6.2705	18.4164	5.949	18.6858	5.578	*	*
